Numero;Date;Type;Nombre;Montant;Cours;Nom;YahooName;Remarques
1;2018-03-31 00:00:00;Solde;;0;;;;
2;2018-04-16 00:00:00;Virement;;1000;;;;
3;2018-04-30 00:00:00;Solde;;1000;;;;
4;2018-05-14 00:00:00;Virement;;4000;;;;
5;2018-05-31 00:00:00;Solde;;214.99;;;;
6;2018-06-05 00:00:00;Virement;;10000;;;;
7;2018-06-30 00:00:00;Solde;;187.24;;;;
8;2018-07-31 00:00:00;Solde;;187.24;;;;
9;2018-08-24 00:00:00;Virement;;500.00;;;;
10;2018-08-28 00:00:00;Achat;4;437.59;109.3975;AIRBUS;AIR.PA;
11;2018-08-29 00:00:00;Virement;;250.00;;;;
12;2018-08-29 00:00:00;Achat;15;417.68;27.84533333;DASSAULT SYSTEMES;DSY.PA;
13;2018-08-29 00:00:00;Virement;;150.00;;;;
14;2018-08-31 00:00:00;Solde;;231.97;;;;
15;2018-09-03 00:00:00;Virement;;300.00;;;;
16;2018-09-03 00:00:00;Achat;36;501.18;13.92166667;ORANGE;ORA.PA;
17;2018-09-30 00:00:00;Solde;;30.79;;;;
18;2018-10-10 00:00:00;Achat;40;500.68;12.517;ENGIE;ENGI.PA;
19;2018-10-10 00:00:00;Virement;;500.00;;;;
20;2018-10-17 00:00:00;Virement;;500;;;;
21;2018-10-17 00:00:00;Achat;7;490.16;70.02285714;RENAULT;RNO.PA;
22;2018-10-31 00:00:00;Solde;;61.41;;;;
23;2018-11-02 00:00:00;Virement;;500;;;;
24;2018-11-02 00:00:00;Achat;15;500.73;33.382;BOUYGUES;EN.PA;
25;2018-11-29 00:00:00;Virement;;2500;;;;
26;2018-11-29 00:00:00;Achat;11;497.59;45.23545455;BNP;BNP.PA;
27;2018-11-29 00:00:00;Achat;23;500.28;21.75130435;AXA;CS.PA;
28;2018-11-29 00:00:00;Achat;10;488.80;48.88;TOTAL;TTE.PA;
29;2018-11-30 00:00:00;Solde;;1074.01;;;;
30;2018-12-03 00:00:00;Achat;26;492;18.92307692;VEOLIA;VIE.PA;
31;2018-12-06 00:00:00;Coupons;36;10.8;0.3;ORANGE;;
32;2018-12-07 00:00:00;Achat;189;501.9;2.655555556;LATECOERE;LAT.PA;
33;2018-12-27 00:00:00;Virement;;500;;;;
34;2018-12-27 00:00:00;Achat;6;452.86;75.47666667;SANOFI;SAN.PA;
35;2018-12-31 00:00:00;Solde;;144.16;;;;
36;2019-01-02 00:00:00;Virement;;500;;;;
